,Cfg,semi,assign,literal,num,float,lp,addsb,muldv,rp,coma,{,if,while,for,id,vtype,comp,},else,return,$,CODE,VD,FD,ASIGN,EXPR,RHS,TERM,FACTR,MA,ARG,STMT,B,COND,ELSE,RETRN
1,3,,,,,,,,,,,,,,,,S7,,,,,R(3),2,3,5,,,,,,,,,,,,
2,´õ¹Ì,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,S7,,,,,R(3),4,3,5,,,,,,,,,,,,
4,1,,,,,,,,,,,,,,,,,,,,,R(1),,,,,,,,,,,,,,,
5,3,,,,,,,,,,,,,,,,S7,,,,,R(3),6,3,5,,,,,,,,,,,,
6,2,,,,,,,,,,,,,,,,,,,,,R(2),,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,S8,,,,,,,,,,9,,,,,,,,,,,
8,,S10,,,,,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,S11,,,,,,,,,,,,,,S12,,,,,,,,,,,,,,,,,,,,,
10,4,,,,,,,,,,,,,,,,R(4),,,,,R(4),,,,,,,,,,,,,,,
11,5,,,,,,,,,,,,,,,,R(5),,,,,R(5),,,,,,,,,,,,,,,
12,,,S13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,S16,S20,S21,S22,,,,,,,,,S19,,,,,,,,,,,15,14,17,18,,,,,,,
14,6,R(6),,,,,,,,R(6),,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21,R(21),,,,,,,,R(21),,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,R(22),,,,,,,,R(22),,,,,,,,,,,,,,,,,,,,,,,,,,,
17,24,R(24),,,,,,S23,,R(24),,,,,,,,,,,,,,,,,,,,,,,,,,,
18,26,R(26),,,,,,R(26),S25,R(26),,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28,R(28),,,,,,R(28),R(28),,,,,,,,,R(28),,,,,,,,,,,,,,,,,,,
20,29,R(29),,,,,,R(29),R(29),,,,,,,,,R(29),,,,,,,,,,,,,,,,,,,
21,30,R(30),,,,,,R(30),R(30),,,,,,,,,R(30),,,,,,,,,,,,,,,,,,,
22,,,,,S20,S21,S22,,,,,,,,,S19,,,,,,,,,,,27,,17,18,,,,,,,
23,,,,,S20,S21,S22,,,,,,,,,S19,,,,,,,,,,,24,,17,18,,,,,,,
24,23,R(23),,,,,,,,R(23),,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,S20,S21,S22,,,,,,,,,S19,,,,,,,,,,,,,26,18,,,,,,,
26,25,R(25),,,,,,R(25),,R(25),,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,S28,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,27,R(27),,,,,,R(27),R(27),,,,,,,,,R(27),,,,,,,,,,,,,,,,,,,
29,9,,,,,,,,,R(9),,,,,,,S30,,,,,,,,,,,,,,,37,,,,,
30,,,,,,,,,,,,,,,,S31,,,,,,,,,,,,,,,,,,,,,
31,11,,,,,,,,,R(11),S33,,,,,,,,,,,,,,,,,,,,32,,,,,,
32,8,,,,,,,,,R(8),,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,S34,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,S35,,,,,,,,,,,,,,,,,,,,,
35,11,,,,,,,,,,S33,,,,,,,,,,,,,,,,,,,,36,,,,,,
36,10,,,,,,,,,R(10),,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,S38,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,S39,,,,,,,,,,,,,,,,,,,,,,,,,
39,13,,,,,,,,,,,,S45,S60,S67,S12,S7,,R(13),,R(13),,,42,,43,,,,,,,40,78,,,
40,13,,,,,,,,,,,,S45,S60,S67,S12,S7,,R(13),,R(13),,,42,,43,,,,,,,,41,,,
41,12,,,,,,,,,,,,,,,,,,R(12),,R(12),,,,,,,,,,,,,,,,
42,14,,,,,,,,,,,,R(14),R(14),R(14),R(14),R(14),,R(14),,R(14),,,,,,,,,,,,,,,,
43,,S44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,15,,,,,,,,,,,,R(15),R(15),R(15),R(15),R(15),,R(15),,R(15),,,,,,,,,,,,,,,,
45,,,,,,,S46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,S20,S21,S22,,,,,,,,,S19,,,,,,,,,,,,,,57,,,,,47,,
47,,,,,,,,,,S48,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,S49,,,,,,,,,,,,,,,,,,,,,,,,,
49,13,,,,,,,,,,,,S45,S60,S67,,S7,,R(13),,R(13),,,42,,43,,,,,,,,50,,,
50,,,,,,,,,,,,,,,,,,,S51,,,,,,,,,,,,,,,,,,
51,20,,,,,,,,,,,,,,,,,,R(20),S53,R(20),,,,,,,,,,,,,,,52,
52,16,,,,,,,,,,,,R(16),R(16),R(16),R(16),R(16),,R(16),,R(16),,,,,,,,,,,,,,,,
53,,,,,,,,,,,,S54,,,,,,,,,,,,,,,,,,,,,,,,,
54,13,,,,,,,,,,,,S45,S60,S67,,S7,,R(13),,R(13),,,42,,43,,,,,,,,55,,,
55,,,,,,,,,,,,,,,,,,,S56,,,,,,,,,,,,,,,,,,
56,19,,,,,,,,,,,,,,,,,,R(19),,R(19),,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,S58,,,,,,,,,,,,,,,,,,,
58,,,,,S20,S21,S22,,,,,,,,,S19,,,,,,,,,,,,,,59,,,,,,,
59,31,R(31),,,,,,,,R(31),,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,S61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,S20,S21,S22,,,,,,,,,S19,,,,,,,,,,,,,,57,,,,,62,,
62,,,,,,,,,,S63,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,S64,,,,,,,,,,,,,,,,,,,,,,,,,
64,13,,,,,,,,,,,,,,,,,,R(13),,R(13),,,,,,,,,,,,,65,,,
65,,,,,,,,,,,,,,,,,,,S66,,,,,,,,,,,,,,,,,,
66,17,,,,,,,,,,,,R(17),R(17),R(17),R(17),R(17),,R(17),,R(17),,,,,,,,,,,,,,,,
67,,,,,,,S68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,
69,,S70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,S20,S21,S22,,,,,,,,,S19,,,,,,,,,,,,,,57,,,,,71,,
71,,S72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,
73,,,,,,,,,,S74,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,S75,,,,,,,,,,,,,,,,,,,,,,,,,
75,13,,,,,,,,,,,,,,,,,,R(13),,R(13),,,,,,,,,,,,,76,,,
